Time, z_position, z_position_rk_tendency, y_position, y_position_rk_tendency, x_position, x_position_rk_tendency, volume, qr, nr, vterm, prevp, nrevp
    2.50,      2996.2761981403,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009994335,     58727.9443569487,         1.4356903086,        -0.0000002141,      -483.8544871681
    2.60,      2996.1326013951,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009994121,     58679.6016793360,         1.4359674301,        -0.0000002138,      -483.4267689227
    2.70,      2995.9889769332,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009993907,     58631.3017279678,         1.4362445978,        -0.0000002135,      -482.9995064849
    2.80,      2995.8453247499,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009993694,     58583.0444573341,         1.4365218117,        -0.0000002132,      -482.5726991469
    2.90,      2995.7016448406,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009993481,     58534.8298219954,         1.4367990718,        -0.0000002129,      -482.1463462025
    3.00,      2995.5579372006,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009993269,     58486.6577765828,         1.4370763782,        -0.0000002126,      -481.7204469474
    3.10,      2995.4142018254,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009993056,     58438.5282757977,         1.4373537308,        -0.0000002123,      -481.2950006789
    3.20,      2995.2704387103,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009992844,     58390.4412744116,         1.4376311297,        -0.0000002120,      -480.8700066958
    3.30,      2995.1266478506,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009992633,     58342.3967272658,         1.4379085749,        -0.0000002117,      -480.4454642989
    3.40,      2994.9828292419,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009992421,     58294.3945892714,         1.4381860664,        -0.0000002114,      -480.0213727906
